ANN_ACC,TYP_EPV,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,COD_AGG,LOC,COD_TYP_CAR_AGG,COD_TYP_CHA,COD_TOP,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN
,,,,,,,,MAGHRAOUA,,,,,,,,,,,
,,,,,,,,KARIA  BA MOHAMMED,,,,,,,,,,,
,,,,,,,,OURTZAGH,,,,,,,,,,,
,,,,,,,,TAOUNATE,,,,,,,,,,,
,,,,,,,,TAHAR SOUK,,,,,,,,,,,
,,,,,,,,TISSA,,,,,,,,,,,
,,,,,,,,SIDI MAKHFI,,,,,,,,,,,
,,,,,,,,AIN MEDIOUNA,,,,,,,,,,,
,,,,,,,,RHAFSAI,,,,,,,,,,,
,,,,,,,,CABO NEGRO,,,,,,,,,,,
,,,,,,,,TNINE SIDI EL LYAMANI,,,,,,,,,,,
,,,,,,,,FNIDEQ,,,,,,,,,,,
,,,,,,,,MELOUSSA,,,,,,,,,,,
,,,,,,,,MARTIL,,,,,,,,,,,
,,,,,,,,MDIQ,,,,,,,,,,,
,,,,,,,,OUED LAOU,,,,,,,,,,,
,,,,,,,,TETOUAN,,,,,,,,,,,
,,,,,,,,KHEMIS ANJRA,,,,,,,,,,,
,,,,,,,,HJAR NHAL,,,,,,,,,,,
,,,,,,,,TAGHRAMT,,,,,,,,,,,
,,,,,,,,BEN KERRICH,,,,,,,,,,,
,,,,,,,,AMSSA,,,,,,,,,,,
,,,,,,,,IFNI,,,,,,,,,,,
,,,,,,,,TAFRAOUTE,,,,,,,,,,,
,,,,,,,,TIZNIT,,,,,,,,,,,
